year_month,Series ID_x,CPI,Series ID_y,PPI
1978/01,CUUR0000SEFG,70.6,,
1978/02,CUUR0000SEFG,70.6,,
1978/03,CUUR0000SEFG,70.8,,
1978/04,CUUR0000SEFG,72.0,,
1978/05,CUUR0000SEFG,72.3,,
1978/06,CUUR0000SEFG,72.5,,
1978/07,CUUR0000SEFG,73.0,,
1978/08,CUUR0000SEFG,73.4,,
1978/09,CUUR0000SEFG,74.2,,
1978/10,CUUR0000SEFG,74.6,,
1978/11,CUUR0000SEFG,75.6,,
1978/12,CUUR0000SEFG,75.9,,
1979/01,CUUR0000SEFG,76.9,,
1979/02,CUUR0000SEFG,77.6,,
1979/03,CUUR0000SEFG,77.9,,
1979/04,CUUR0000SEFG,78.3,,
1979/05,CUUR0000SEFG,78.7,,
1979/06,CUUR0000SEFG,79.7,,
1979/07,CUUR0000SEFG,80.6,,
1979/08,CUUR0000SEFG,81.2,,
1979/09,CUUR0000SEFG,82.1,,
1979/10,CUUR0000SEFG,82.5,,
1979/11,CUUR0000SEFG,82.7,,
1979/12,CUUR0000SEFG,82.8,,
1980/01,CUUR0000SEFG,83.9,,
1980/02,CUUR0000SEFG,84.9,,
1980/03,CUUR0000SEFG,85.5,,
1980/04,CUUR0000SEFG,86.2,,
1980/05,CUUR0000SEFG,86.0,,
1980/06,CUUR0000SEFG,87.2,,
1980/07,CUUR0000SEFG,87.5,,
1980/08,CUUR0000SEFG,87.9,,
1980/09,CUUR0000SEFG,89.0,,
1980/10,CUUR0000SEFG,89.2,,
1980/11,CUUR0000SEFG,90.9,,
1980/12,CUUR0000SEFG,91.9,,
1981/01,CUUR0000SEFG,94.8,,
1981/02,CUUR0000SEFG,94.1,,
1981/03,CUUR0000SEFG,95.1,,
1981/04,CUUR0000SEFG,95.3,,
1981/05,CUUR0000SEFG,93.6,,
1981/06,CUUR0000SEFG,93.3,,
1981/07,CUUR0000SEFG,94.6,,
1981/08,CUUR0000SEFG,94.5,,
1981/09,CUUR0000SEFG,96.1,,
1981/10,CUUR0000SEFG,95.6,,
1981/11,CUUR0000SEFG,95.1,,
1981/12,CUUR0000SEFG,95.3,,
1982/01,CUUR0000SEFG,98.9,,
1982/02,CUUR0000SEFG,99.0,,
1982/03,CUUR0000SEFG,99.7,,
1982/04,CUUR0000SEFG,101.2,,
1982/05,CUUR0000SEFG,97.0,,
1982/06,CUUR0000SEFG,96.8,,
1982/07,CUUR0000SEFG,98.1,,
1982/08,CUUR0000SEFG,97.4,,
1982/09,CUUR0000SEFG,97.9,,
1982/10,CUUR0000SEFG,97.3,,
1982/11,CUUR0000SEFG,97.1,,
1982/12,CUUR0000SEFG,97.9,,
1983/01,CUUR0000SEFG,99.8,,
1983/02,CUUR0000SEFG,100.5,,
1983/03,CUUR0000SEFG,100.7,,
1983/04,CUUR0000SEFG,100.5,,
1983/05,CUUR0000SEFG,98.7,,
1983/06,CUUR0000SEFG,98.3,,
1983/07,CUUR0000SEFG,97.7,,
1983/08,CUUR0000SEFG,98.7,,
1983/09,CUUR0000SEFG,98.7,,
1983/10,CUUR0000SEFG,99.1,,
1983/11,CUUR0000SEFG,99.3,,
1983/12,CUUR0000SEFG,99.7,,
1984/01,CUUR0000SEFG,101.6,,
1984/02,CUUR0000SEFG,102.3,,
1984/03,CUUR0000SEFG,102.1,,
1984/04,CUUR0000SEFG,102.6,,
1984/05,CUUR0000SEFG,100.9,,
1984/06,CUUR0000SEFG,101.3,,
1984/07,CUUR0000SEFG,102.5,,
1984/08,CUUR0000SEFG,102.5,,
1984/09,CUUR0000SEFG,103.5,,
1984/10,CUUR0000SEFG,103.5,,
1984/11,CUUR0000SEFG,103.1,,
